PartId,PartNumber,Type,Code
71936,98YCT4370,0,KTHD
72971,CU4422,1,KTIF
994344339201356631,X0120704005-1,1,SEI
36877,ÖÖV91,0,BULT
42032,309692-1,1,KTF
58101,980160422005,1,SEHD
74616,98X0150530000-9,1,SEHD
73691,TB5291,1,KTIA
19419,309742,1,KTF
25123,98TM2160,1,RES
55930,98330325,1,KTIS
22714,KED12144D,0,KINA
6504,980306940220,1,KTA
1096705459750759188,GW239790,1,GWA
23281,98LEF2320,0,RES
71034,LS4148,1,BTI
73694,TB5294,1,KTIA
977665783194921840,X0471351850TS,1,KTHD
19623,98344044,1,KTIF
39112,093823,2,KTHD
56017,98X0371981100-2A,1,KTHD
25238,98TS5005,1,RES
41423,X9307552,0,NORD
831761759917841927,CT8196,0,KTHP
52328,98X0160545005-1,1,SEHD
40542,ZMA012RU,0,INST
75979,X9604092672153,0,NORD
27366,ÖKIL321818,0,BULT
70208,0760400405,1,BTI
38897,981793116-00,0,RES
1097766124786095735,#REF_2172,0,REF
1081821027661153666,ET0897,1,SEI
817280081750493446,EH5372,1,SEHD
1208439147796332489,334010ZM,1,KTIF
17935,0371781850,1,KTIA
1238148103610480924,04901741,2,ITT
26112,98TU6020,1,RES
21770,98EF3300,1,RES
42054,EF073010,1,RES
36696,REM536,0,REM
20408,803653,1,EMB
38637,GF01015,1,RES
1084056626011944244,XD072017-48,1,RES
63585,X414054-SK,1,SLASK
1013923155788694593,430230,1,KTHD
18076,0371981505,1,KTIA
25883,TT858606,1,KTIF
75991,XEH2898,1,SEHD
68006,GB4227,1,SLASK
56544,CU5616,1,KTHD
1016581875717592620,EF2991,1,SEI
75688,EÖ83,0,EMB
25569,TT559002,1,KTIF
51170,GB3087,1,SLASK
39928,800002,1,ÖVR
830599739364966458,CD5925,1,KTHD
73569,125820,0,REM
20369,630805,1,RÖR
1231759001932689794,CI4007ZM,1,KTHD
51246,98GB4238,1,ÖVR
1278940658866742329,XJT001415,1,KTIS
22151,98EK0110,1,RES
1210960317336487748,CD2017ZM,1,KTHD
71190,LI3112,1,BTI
56115,450140HA-02,1,KTHD
50286,TB5366,1,KTIA
18855,X170111,1,SE
4155,980210030850,2,KE
982836452235046736,X0471080110-4,1,KTHD
1232581359273887555,X961506303060,0,NORD
1172763670852575484,D021001,1,DOB
31722,98140262H-00,1,SE
53479,980160511005,1,SEHD
76173,TI2094,1,KTA
74002,XTI2148,1,KTA
1226945071657855960,CU4408ZM,1,KTIF
73139,125122H-01,1,SEHD
40260,98ZZMA012DE,2,ÖVR
51746,XPMKT22440,1,KTHD
73710,X125192,1,SEHD
1209206612344168518,TT502006ZM,1,KTIF
68792,X412170V,1,SLASK
995811052234413045,EH5292,1,SEHD
59436,09133202,2,SEHD
74266,XLT0103-1,1,BTI
38641,GF01054,1,RES
55808,XET5097-1,1,RES
76679,EV0315,1,GBA
70781,CD312217,1,KTHD
68854,OD0021,1,RÖRI
75836,CT1701,1,KTHD
20576,9891933916,0,RES
40033,TU573510,1,RES
55617,CS5403,1,KTHD
33743,980150515000-00,1,SEHD
